Timestamp,Price,Volume,Bid_Size,Ask_Size
1609459200000000,10.01,897,5406,5359
1609459201000000,10.05,805,5399,4702
1609459202000000,10.08,1126,4525,4596
1609459203000000,10.1,1065,4945,4721
1609459204000000,10.1,846,5162,4917
1609459205000000,10.06,899,4979,5161
1609459206000000,10.09,922,5366,4867
1609459207000000,10.1,859,5487,4509
1609459208000000,10.1,835,5386,4588
1609459209000000,10.1,829,5066,4635
1609459210000000,10.1,945,5050,5092
1609459211000000,10.1,1014,4511,5477
1609459212000000,10.06,1124,5274,5443
1609459213000000,10.03,940,4570,5422
1609459214000000,10.05,1052,5484,5113
1609459215000000,10.08,886,4591,5046
1609459216000000,10.1,851,4960,5325
1609459217000000,10.06,1149,4548,5107
1609459218000000,10.06,914,5163,4802
1609459219000000,10.03,850,5184,5355
1609459220000000,10.05,1037,4909,4722
1609459221000000,10.04,1083,5127,4732
1609459222000000,9.99,1058,5376,4601
1609459223000000,9.96,1133,5357,4736
1609459224000000,9.94,952,5248,5288
1609459225000000,9.94,1011,5462,4886
1609459226000000,9.98,915,4714,5257
1609459227000000,9.98,842,4689,5001
1609459228000000,9.95,877,4699,4776
1609459229000000,9.91,1073,4631,5382
1609459230000000,9.9,1025,5192,5136
1609459231000000,9.93,802,5114,5221
1609459232000000,9.91,1069,5345,4967
1609459233000000,9.92,948,5018,4821
1609459234000000,9.95,882,4874,5338
1609459235000000,9.95,810,5273,4654
1609459236000000,9.92,1175,5228,5375
1609459237000000,9.96,868,5299,4816
1609459238000000,9.98,953,5414,5111
1609459239000000,9.97,997,4923,5436
1609459240000000,10.01,999,4686,4560
1609459241000000,10.03,1086,4968,4979
1609459242000000,10.07,1071,5105,5374
1609459243000000,10.09,1140,5465,5270
1609459244000000,10.1,1131,4536,4887
1609459245000000,10.1,1135,5241,4548
1609459246000000,10.1,1076,4894,4820
1609459247000000,10.1,1200,4509,5078
1609459248000000,10.1,948,4739,4786
1609459249000000,10.1,897,5364,4982
1609459250000000,10.07,1184,4714,5004
1609459251000000,10.1,900,5020,5319
1609459252000000,10.1,946,5390,5364
1609459253000000,10.1,939,4861,4749
1609459254000000,10.1,1150,4940,5320
1609459255000000,10.08,812,5019,4640
1609459256000000,10.1,973,5152,5084
1609459257000000,10.1,1063,4905,5407
1609459258000000,10.1,1043,4836,4802
1609459259000000,10.09,1196,4573,5246
1609459260000000,10.04,1103,4961,5484
1609459261000000,10.0,807,5336,4633
1609459262000000,10.03,894,5264,5056
1609459263000000,10.04,1145,5284,5172
1609459264000000,10.05,1056,5038,5106
1609459265000000,10.03,1058,5053,5436
1609459266000000,10.02,988,5191,4740
1609459267000000,10.03,923,5363,5207
1609459268000000,10.0,853,5016,5043
1609459269000000,10.01,852,5461,5488
1609459270000000,9.99,846,4757,4793
1609459271000000,10.04,862,5143,5136
1609459272000000,10.01,909,5447,4708
1609459273000000,10.03,1038,4743,4919
1609459274000000,10.06,1048,5339,4988
1609459275000000,10.04,1169,5317,5314
1609459276000000,10.07,987,5305,4878
1609459277000000,10.06,827,5469,4557
1609459278000000,10.04,963,5409,4648
1609459279000000,10.03,827,5232,5393
1609459280000000,10.07,804,5101,5171
1609459281000000,10.07,1086,4609,5102
1609459282000000,10.09,888,5142,5154
1609459283000000,10.1,986,5040,4818
1609459284000000,10.1,1199,4828,4881
